cartodb_id,the_geom,type_walkway,type_vacant_lot,type_tree,type_tag_graffiti,type_stumble_stone,type_speech,type_song_sound,type_shrine,type_sculpture_statue,type_scholarship,type_protest,type_poem,type_plaque,type_performance,type_park,type_parade,type_obelisk,type_museum,type_mural,type_mosaic,type_meal,type_interactive,type_historical_marker,type_gateway,type_garden,type_digital_project,type_community_resource_center,type_closed_school,type_closed_factory,type_celebration,type_bridge,type_book,type_billboard,type_bench,type_archeological_site,type_arch,topic_youth,topic_women,topic_william_penn,topic_water,topic_war,topic_violence,topic_unity,topic_technology,topic_sustainability,topic_street_art,topic_sports,topic_social_justice,topic_slavery,topic_sexuality,topic_seniors,topic_rocky,topic_religion,topic_public_safety,topic_public_health,topic_pretzel,topic_peace,topic_outer_space,topic_neighborhoods,topic_music,topic_move,topic_monument_lab,topic_mass_incarceration,topic_love,topic_liberty_bell,topic_justice,topic_indigenous_peoples,topic_immigration,topic_hunger,topic_homelessness,topic_green_space_or_nature,topic_gentrification,topic_gender,topic_freedom,topic_food,topic_education,topic_division,topic_diversity,topic_dialogue,topic_community,topic_class_economic_inequality,topic_civic_engagement,topic_city_infrastructure_transportation,topic_cheese_steak,topic_celebration,topic_ben_franklin,topic_art_and_culture,topic_addiction,zip,type_vista,type_street,type_projection,type_playground,type_other_no_form,type_memorial,type_image,type_film,type_bikepath,transcript,topic_wawa,topic_race_ethnicity,topic_post_industrial,name,age,address,mlab_id,form_image_b
1,0101000020E6100000FFFFFFC8CCCF52C0D77051A14DFA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,19041,,,,,,,,,,"This monument would consist of the letters ""MOVE"" in Roman numeric placed on the front yard of the home that was bombed on May 13, 1985.",,1,,Untitled,39,"On Osage Avenue
",1,https://farm6.staticflickr.com/5450/17825774281_fc314d2269_b.jpg
2,0101000020E61000000000002387CA52C0AD594D49DAF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,19403,,,,,,,,,,[All different colors in the circles. Circles of metal],,,,Dancing with Love in Your Step,25,"Right in the heart of Philly
",10,https://farm8.staticflickr.com/7763/17795536066_e8206376d7_b.jpg
3,0101000020E6100000464CFD7A4DCA52C0DC1E52463BF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,https://farm1.staticflickr.com/552/18420453279_64f49624a6_b.jpg
4,0101000020E61000002829B000A6CA52C08542041C42FB4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19148,,,,,,,,,,"Inside is a replica of center city skyline. Idea: no matter where, our contribution to society effects everything & everyone. We are the influence. Like aN electric lava lamp- when someone touches the glass, people are connected to the ""flow"". When people gather, everyone is ""connected"" [Solar panels]",,,,Connection,20,Near the Gallery or CCP,101,https://farm8.staticflickr.com/7774/17860011161_1995e313f8_b.jpg
5,0101000020E61000000000001B9FC952C0B45B1FF08CF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,"90012
",,,,,,,,,,"The Liberty Bell becomes a vessel for mac-n-cheese. It's to be filpped upside down and filled with mac-n-cheese. It will never go empty. Everybody can eat from it. It's free food!!! Wawa supports this meal and provides the upkeep that would be required for a clean safe eating enviroment. The Wawa-Liberty Bell- Mac-n-cheese nourishes and comforts people, all people the way mothers affection is to provide. Wawa is Mama",1,,,Wawa is Mama,34,Liberty Bell,102,https://farm6.staticflickr.com/5348/17833163766_8e14f03b28_b.jpg
6,0101000020E6100000E70AA5E5F6CF52C0EC9A351DA6FE4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,08033,,,,,,,,,,[Tina Fey / P!nk / Will Smith / Santigold / etc ..],,,,Celebrities of Philadelphia,20,Scattered across Philadelphia,104,https://farm9.staticflickr.com/8838/17860011541_9e4ec797e4_b.jpg
7,0101000020E61000002B68FFA8F2C852C0EDC737256A004440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19428,,,,,1,,,,,arts + culture in the city monument. no kitschy clip art. original. symbolic of past + future,,,,For Art,29,South Street,105,https://farm8.staticflickr.com/7738/17833164096_a8f2f380d8_b.jpg
8,0101000020E610000006B98B3045C752C010AD156D8EFF4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,19134,,,,,,,,,,"I'd love to see some sort of monument or statue that depicts the rich history of Kensington and factory/manufactoring workers. Instead of something small, it would be something that would bring back the pride that once was kensington (not fishtown or port richmond) There already is a mural, but something bigger. Think the gates of Berlin!",,,1,Pride of Kensington,32,Kensington + Allegheney ,106,https://farm6.staticflickr.com/5344/17671969700_2c8550d628_b.jpg
9,0101000020E6100000ADFC8DD195CE52C063A8797D9C034440,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19127, ,,,,,,,,,Bronze lifesize cyclist or cyclists going up the Manayunk Wall,,,,Manayunk Cyclists,52,High St & Dupont near the new entance to the trail bridge to Montgomery County (unfinished),107,https://farm8.staticflickr.com/7693/17236963284_b4a5219ab8_b.jpg
10,0101000020E6100000000000785BCE52C0A64264479DFD4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19142,,,,,,,,,,"This monument will focus on the culture and legends from Philadelphia (Born/raised) [10 feet by 25 to 30 feet. Mayor Street, Beanie Siegel, Will Smith, Meek, Jill Scott, Musiq Soulchild]",,,,Philly Legends of Culture - Actual Legends (actually from Philly),21,Somewhere in West Philadelphia or Southwest,108,https://farm9.staticflickr.com/8772/17859995851_e6f6b38da5_b.jpg
